ID,路径,源码入口,身份/分组,执行卡,必测状态,document.title实际值,主要标题实际值,重定向/不适用说明,状态,证据,默认页面标题期望,主要标题期望规则,配色依据,配色验收A17,配色证据
A16,/admin?section=magicProxy,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/上游配置,T19,魔法代理：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,魔法代理,,IN_PROGRESS,evidence/admin-sections-matrix/magicProxy-light-1672x941.png; evidence/admin-sections-matrix/magicProxy-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,魔法代理,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A17,/admin?section=genericProxy,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/上游配置,T19,通用代理：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,通用代理,,IN_PROGRESS,evidence/admin-sections-matrix/genericProxy-light-1672x941.png; evidence/admin-sections-matrix/genericProxy-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,通用代理,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A18,/admin?section=runninghub,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/上游配置,T19,RunningHub：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,RunningHub,,IN_PROGRESS,evidence/admin-sections-matrix/runninghub-light-1672x941.png; evidence/admin-sections-matrix/runninghub-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,RunningHub,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A19,/admin?section=geminiai,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/上游配置,T19,GeminiAIStudio：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,GeminiAIStudio,,IN_PROGRESS,evidence/admin-sections-matrix/geminiai-light-1672x941.png; evidence/admin-sections-matrix/geminiai-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,GeminiAIStudio,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A20,/admin?section=geminiTools,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/上游配置,T19,GeminiTools：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,GeminiTools,,IN_PROGRESS,evidence/admin-sections-matrix/geminiTools-light-1672x941.png; evidence/admin-sections-matrix/geminiTools-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,GeminiTools,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A21,/admin?section=chatgptApi,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/上游配置,T19,GPTAPI：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,GPTAPI,,IN_PROGRESS,evidence/admin-sections-matrix/chatgptApi-light-1672x941.png; evidence/admin-sections-matrix/chatgptApi-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,GPTAPI,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A22,/admin?section=minimax,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/上游配置,T19,MiniMax 音频：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,MiniMax 音频,,IN_PROGRESS,evidence/admin-sections-matrix/minimax-light-1672x941.png; evidence/admin-sections-matrix/minimax-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,MiniMax 音频,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A23,/admin?section=tencentMusic,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/上游配置,T19,TokenHub：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,TokenHub,,IN_PROGRESS,evidence/admin-sections-matrix/tencentMusic-light-1672x941.png; evidence/admin-sections-matrix/tencentMusic-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,TokenHub,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A24,/admin?section=qwenAudio,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/上游配置,T19,百炼语音：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,百炼语音,,IN_PROGRESS,evidence/admin-sections-matrix/qwenAudio-light-1672x941.png; evidence/admin-sections-matrix/qwenAudio-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,百炼语音,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A25,/admin?section=dreamina,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/上游配置,T19,即梦 CLI：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,即梦 CLI,,IN_PROGRESS,evidence/admin-sections-matrix/dreamina-light-1672x941.png; evidence/admin-sections-matrix/dreamina-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,即梦 CLI,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A26,/admin?section=skills,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/上游配置,T19,Agent Skills：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,Agent Skills,,IN_PROGRESS,evidence/admin-sections-matrix/skills-light-1672x941.png; evidence/admin-sections-matrix/skills-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,Agent Skills,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A27,/admin?section=settings,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/系统管理,T19,基础设置：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,基础设置,,IN_PROGRESS,evidence/admin-sections-matrix/settings-light-1672x941.png; evidence/admin-sections-matrix/settings-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,基础设置,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A28,/admin?section=accountDeletion,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/系统管理,T19,注销申请：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,注销申请,,IN_PROGRESS,evidence/admin-sections-matrix/accountDeletion-light-1672x941.png; evidence/admin-sections-matrix/accountDeletion-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,注销申请,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A29,/admin?section=mediaStorage,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/系统管理,T19,本地媒体：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,本地媒体,,IN_PROGRESS,evidence/admin-sections-matrix/mediaStorage-light-1672x941.png; evidence/admin-sections-matrix/mediaStorage-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,本地媒体,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A30,/admin?section=externalStorage,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/系统管理,T19,外部存储：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,外部存储,,IN_PROGRESS,evidence/admin-sections-matrix/externalStorage-light-1672x941.png; evidence/admin-sections-matrix/externalStorage-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,外部存储,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A31,/admin?section=backup,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/系统管理,T19,数据备份：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,数据备份,,IN_PROGRESS,evidence/admin-sections-matrix/backup-light-1672x941.png; evidence/admin-sections-matrix/backup-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,数据备份,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A32,/admin?section=updates,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/系统管理,T19,版本更新：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,版本更新,,IN_PROGRESS,evidence/admin-sections-matrix/updates-light-1672x941.png; evidence/admin-sections-matrix/updates-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,版本更新,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A33,/admin?section=announcements,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/内容运营,T19,公告通知：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,公告通知,,IN_PROGRESS,evidence/admin-sections-matrix/announcements-light-1672x941.png; evidence/admin-sections-matrix/announcements-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,公告通知,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A34,/admin?section=works,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/内容运营,T19,作品管理：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,作品管理,,IN_PROGRESS,evidence/admin-sections-matrix/works-light-1672x941.png; evidence/admin-sections-matrix/works-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,作品管理,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A35,/admin?section=prompts,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/内容运营,T19,提示词运营：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,提示词运营,,IN_PROGRESS,evidence/admin-sections-matrix/prompts-light-1672x941.png; evidence/admin-sections-matrix/prompts-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,提示词运营,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
A36,/admin?section=adminHelp,web/src/components/admin/admin-section-nav.tsx → dashboard惰性映射（开工定位）,管理员/系统管理,T19,使用文档：有效数据/空/错误/筛选/主要编辑或详情弹层/职责权限,管理后台 | dreamyo,使用文档,,IN_PROGRESS,evidence/admin-sections-matrix/adminHelp-light-1672x941.png; evidence/admin-sections-matrix/adminHelp-light-1672x941.json; 14个默认视口/主题单元见视口主题验收.csv,管理后台 | dreamyo,使用文档,C01 / 生成按钮B01,PASS,C01;B01;BUILD_ID=9sMLb0KxOZx3vl8L7_ez-
